city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Vinh Phuc	14/02/2024	21.60 °C	74.0%	0.4 mm	20.9 kph	6.0
Phu Tho	14/02/2024	29.50 °C	52.0%	0.0 mm	22.0 kph	9.0
Hanoi	15/02/2024	21.10 °C	80.0%	0.8 mm	12.6 kph	5.0
Hung Yen	15/02/2024	20.70 °C	77.0%	0.0 mm	11.9 kph	5.0
Ha Nam	15/02/2024	21.10 °C	87.0%	1.3 mm	14.8 kph	5.0
Hoa Binh	15/02/2024	20.40 °C	88.0%	1.7 mm	5.4 kph	5.0
Bac Ninh	15/02/2024	21.10 °C	76.0%	0.2 mm	9.4 kph	5.0
Vinh Phuc	15/02/2024	21.10 °C	80.0%	0.8 mm	12.6 kph	5.0
Phu Tho	15/02/2024	30.20 °C	51.0%	0.0 mm	29.2 kph	9.0
Hanoi	16/02/2024	21.70 °C	71.0%	0.4 mm	17.6 kph	6.0
Hung Yen	16/02/2024	21.10 °C	73.0%	0.4 mm	17.3 kph	5.0
Ha Nam	16/02/2024	20.70 °C	81.0%	0.3 mm	13.7 kph	5.0
Hoa Binh	16/02/2024	20.70 °C	80.0%	1.9 mm	9.7 kph	5.0
Bac Ninh	16/02/2024	21.60 °C	68.0%	0.2 mm	20.2 kph	6.0
Vinh Phuc	16/02/2024	21.70 °C	71.0%	0.4 mm	17.6 kph	6.0
Phu Tho	16/02/2024	29.50 °C	52.0%	0.0 mm	26.6 kph	9.0
Hanoi	17/02/2024	22.20 °C	74.0%	0.1 mm	21.6 kph	6.0
Hung Yen	17/02/2024	20.80 °C	80.0%	0.2 mm	19.1 kph	5.0
Ha Nam	17/02/2024	21.60 °C	83.0%	0.1 mm	22.0 kph	6.0
Hoa Binh	17/02/2024	22.60 °C	75.0%	0.0 mm	15.1 kph	6.0
Bac Ninh	17/02/2024	21.50 °C	75.0%	0.1 mm	22.3 kph	5.0
Vinh Phuc	17/02/2024	22.20 °C	74.0%	0.1 mm	21.6 kph	6.0
Phu Tho	17/02/2024	28.70 °C	54.0%	0.0 mm	24.1 kph	9.0
Hanoi	18/02/2024	24.50 °C	75.0%	0.3 mm	25.6 kph	6.0
Hung Yen	18/02/2024	22.10 °C	87.0%	0.7 mm	20.2 kph	5.0
Ha Nam	18/02/2024	23.10 °C	83.0%	0.1 mm	20.5 kph	6.0
Hoa Binh	18/02/2024	25.00 °C	72.0%	0.0 mm	13.7 kph	7.0
Bac Ninh	18/02/2024	23.20 °C	80.0%	0.5 mm	27.0 kph	6.0
Vinh Phuc	18/02/2024	24.50 °C	75.0%	0.3 mm	25.6 kph	6.0
Phu Tho	18/02/2024	28.80 °C	61.0%	0.0 mm	25.9 kph	9.0
Hanoi	19/02/2024	25.40 °C	75.0%	0.1 mm	23.0 kph	7.0
Hung Yen	19/02/2024	22.90 °C	85.0%	0.2 mm	20.2 kph	6.0
Ha Nam	19/02/2024	24.10 °C	83.0%	0.0 mm	20.9 kph	7.0
Hoa Binh	19/02/2024	25.70 °C	74.0%	0.0 mm	14.8 kph	7.0
Bac Ninh	19/02/2024	24.30 °C	78.0%	0.1 mm	27.0 kph	6.0
Vinh Phuc	19/02/2024	25.40 °C	75.0%	0.1 mm	23.0 kph	7.0
Phu Tho	19/02/2024	29.00 °C	64.0%	0.0 mm	25.9 kph	9.0
Hanoi	20/02/2024	25.70 °C	74.0%	0.1 mm	24.5 kph	7.0
Hung Yen	20/02/2024	23.00 °C	86.0%	0.3 mm	20.2 kph	5.0
Ha Nam	20/02/2024	24.50 °C	81.0%	0.0 mm	24.1 kph	7.0
Hoa Binh	20/02/2024	26.60 °C	71.0%	0.0 mm	15.8 kph	7.0
Bac Ninh	20/02/2024	24.60 °C	79.0%	0.2 mm	27.0 kph	6.0
Vinh Phuc	20/02/2024	25.70 °C	74.0%	0.1 mm	24.5 kph	7.0
Phu Tho	20/02/2024	28.90 °C	65.0%	0.0 mm	26.3 kph	9.0
Hanoi	21/02/2024	26.40 °C	72.0%	0.0 mm	25.6 kph	7.0
Hung Yen	21/02/2024	23.00 °C	88.0%	0.3 mm	18.0 kph	5.0
Ha Nam	21/02/2024	25.10 °C	79.0%	0.0 mm	25.6 kph	7.0
Hoa Binh	21/02/2024	27.30 °C	67.0%	0.3 mm	16.2 kph	8.0
Bac Ninh	21/02/2024	24.60 °C	81.0%	0.1 mm	25.6 kph	6.0
Vinh Phuc	21/02/2024	26.40 °C	72.0%	0.0 mm	25.6 kph	7.0
Phu Tho	21/02/2024	28.60 °C	67.0%	0.0 mm	27.0 kph	9.0
Hanoi	22/02/2024	25.10 °C	76.0%	0.2 mm	19.8 kph	6.0
Hung Yen	22/02/2024	23.30 °C	82.0%	0.3 mm	18.4 kph	6.0
Ha Nam	22/02/2024	23.80 °C	86.0%	0.2 mm	16.6 kph	6.0
Hoa Binh	22/02/2024	25.50 °C	76.0%	0.1 mm	14.0 kph	7.0
Bac Ninh	22/02/2024	24.60 °C	77.0%	0.1 mm	23.8 kph	6.0
Vinh Phuc	22/02/2024	25.10 °C	76.0%	0.2 mm	19.8 kph	6.0
Phu Tho	22/02/2024	28.80 °C	65.0%	0.0 mm	25.2 kph	9.0
Hanoi	23/02/2024	23.10 °C	79.0%	1.1 mm	16.2 kph	5.0
Hung Yen	23/02/2024	22.50 °C	77.0%	0.1 mm	24.1 kph	5.0
Ha Nam	23/02/2024	21.60 °C	91.0%	1.8 mm	15.1 kph	5.0
Hoa Binh	23/02/2024	22.10 °C	88.0%	1.9 mm	8.3 kph	5.0
Bac Ninh	23/02/2024	23.80 °C	75.0%	0.7 mm	16.2 kph	6.0
Vinh Phuc	23/02/2024	23.10 °C	79.0%	1.1 mm	16.2 kph	5.0
Phu Tho	23/02/2024	29.00 °C	65.0%	0.0 mm	25.2 kph	9.0
Hanoi	24/02/2024	21.30 °C	80.0%	1.2 mm	17.6 kph	5.0
Hung Yen	24/02/2024	20.70 °C	79.0%	0.3 mm	21.6 kph	5.0
Ha Nam	24/02/2024	20.70 °C	89.0%	0.3 mm	14.8 kph	5.0
Hoa Binh	24/02/2024	20.00 °C	91.0%	2.0 mm	7.2 kph	5.0
Bac Ninh	24/02/2024	21.80 °C	76.0%	1.4 mm	20.9 kph	6.0
Vinh Phuc	24/02/2024	21.30 °C	80.0%	1.2 mm	17.6 kph	5.0
Phu Tho	24/02/2024	29.70 °C	58.0%	0.0 mm	28.4 kph	9.0
Hanoi	25/02/2024	15.50 °C	76.0%	0.2 mm	8.3 kph	4.0
Hung Yen	25/02/2024	16.70 °C	75.0%	0.2 mm	10.1 kph	4.0
Ha Nam	25/02/2024	17.20 °C	83.0%	0.4 mm	10.4 kph	4.0
Hoa Binh	25/02/2024	16.20 °C	83.0%	0.1 mm	6.1 kph	4.0
Bac Ninh	25/02/2024	15.10 °C	74.0%	0.2 mm	10.8 kph	4.0
Vinh Phuc	25/02/2024	15.50 °C	76.0%	0.2 mm	8.3 kph	4.0
Phu Tho	25/02/2024	29.30 °C	52.0%	0.0 mm	20.5 kph	9.0
Hanoi	26/02/2024	17.20 °C	76.0%	0.2 mm	13.3 kph	5.0
Hung Yen	26/02/2024	17.00 °C	81.0%	0.3 mm	10.4 kph	4.0
Ha Nam	26/02/2024	18.60 °C	84.0%	0.5 mm	14.0 kph	5.0
Hoa Binh	26/02/2024	17.20 °C	82.0%	0.2 mm	5.8 kph	5.0
Bac Ninh	26/02/2024	16.40 °C	74.0%	0.4 mm	9.0 kph	4.0
Vinh Phuc	26/02/2024	17.20 °C	76.0%	0.2 mm	13.3 kph	5.0
Phu Tho	26/02/2024	29.50 °C	52.0%	0.0 mm	23.4 kph	9.0
Hanoi	27/02/2024	16.00 °C	83.0%	2.0 mm	10.1 kph	4.0
Hung Yen	27/02/2024	17.50 °C	81.0%	0.8 mm	10.1 kph	4.0
Ha Nam	27/02/2024	18.20 °C	89.0%	2.3 mm	13.3 kph	4.0
Hoa Binh	27/02/2024	15.30 °C	91.0%	1.0 mm	6.1 kph	4.0
Bac Ninh	27/02/2024	15.10 °C	78.0%	1.7 mm	12.2 kph	4.0
Vinh Phuc	27/02/2024	16.00 °C	83.0%	2.0 mm	10.1 kph	4.0
Phu Tho	27/02/2024	29.80 °C	54.0%	0.3 mm	26.6 kph	8.0
Hanoi	28/02/2024	16.50 °C	80.0%	0.2 mm	11.5 kph	4.0
Hung Yen	28/02/2024	16.80 °C	86.0%	0.9 mm	7.2 kph	4.0
Ha Nam	28/02/2024	19.10 °C	83.0%	0.1 mm	12.6 kph	5.0
Hoa Binh	28/02/2024	18.10 °C	79.0%	0.1 mm	9.4 kph	5.0
Bac Ninh	28/02/2024	15.40 °C	83.0%	1.1 mm	7.9 kph	4.0
Vinh Phuc	28/02/2024	16.50 °C	80.0%	0.2 mm	11.5 kph	4.0
Phu Tho	28/02/2024	29.80 °C	53.0%	0.0 mm	25.6 kph	9.0
Hanoi	29/02/2024	19.40 °C	81.0%	1.9 mm	19.4 kph	5.0
Hung Yen	29/02/2024	19.90 °C	87.0%	1.0 mm	14.8 kph	5.0
Ha Nam	29/02/2024	21.10 °C	83.0%	0.8 mm	16.2 kph	6.0
Hoa Binh	29/02/2024	19.80 °C	82.0%	1.3 mm	7.9 kph	5.0
Bac Ninh	29/02/2024	18.30 °C	81.0%	1.9 mm	21.2 kph	5.0
Vinh Phuc	29/02/2024	19.40 °C	81.0%	1.9 mm	19.4 kph	5.0
Phu Tho	29/02/2024	29.60 °C	51.0%	0.0 mm	28.1 kph	9.0
Hanoi	01/03/2024	14.00 °C	72.0%	0.6 mm	18.0 kph	4.0
Hung Yen	01/03/2024	15.80 °C	73.0%	0.5 mm	8.3 kph	4.0
Ha Nam	01/03/2024	16.50 °C	80.0%	1.1 mm	15.8 kph	4.0
Hoa Binh	01/03/2024	14.60 °C	80.0%	1.0 mm	7.9 kph	4.0
Bac Ninh	01/03/2024	13.30 °C	71.0%	1.1 mm	21.2 kph	3.0
Vinh Phuc	01/03/2024	14.00 °C	72.0%	0.6 mm	18.0 kph	4.0
Phu Tho	01/03/2024	30.00 °C	50.0%	0.0 mm	27.0 kph	9.0
Hanoi	02/03/2024	14.20 °C	63.0%	0.0 mm	9.7 kph	4.0
Hung Yen	02/03/2024	15.10 °C	64.0%	0.1 mm	11.9 kph	4.0
Ha Nam	02/03/2024	15.60 °C	72.0%	0.3 mm	9.7 kph	4.0
Hoa Binh	02/03/2024	14.10 °C	66.0%	0.0 mm	7.2 kph	4.0
Bac Ninh	02/03/2024	13.70 °C	63.0%	0.0 mm	12.2 kph	4.0
Vinh Phuc	02/03/2024	14.20 °C	63.0%	0.0 mm	9.7 kph	4.0
Phu Tho	02/03/2024	29.90 °C	54.0%	0.0 mm	27.4 kph	9.0
Hanoi	03/03/2024	18.60 °C	76.0%	0.0 mm	17.6 kph	5.0
Hung Yen	03/03/2024	17.70 °C	81.0%	0.1 mm	12.2 kph	5.0
Ha Nam	03/03/2024	19.10 °C	79.0%	0.1 mm	17.6 kph	5.0
Hoa Binh	03/03/2024	18.70 °C	72.0%	0.0 mm	13.0 kph	6.0
Bac Ninh	03/03/2024	17.50 °C	74.0%	0.0 mm	13.0 kph	5.0
Vinh Phuc	03/03/2024	18.60 °C	76.0%	0.0 mm	17.6 kph	5.0
Phu Tho	03/03/2024	29.80 °C	56.0%	0.0 mm	25.9 kph	9.0
Hanoi	04/03/2024	23.70 °C	75.0%	0.2 mm	21.2 kph	7.0
Hung Yen	04/03/2024	21.60 °C	90.0%	0.6 mm	23.0 kph	6.0
Ha Nam	04/03/2024	23.60 °C	77.0%	0.1 mm	25.9 kph	8.0
Hoa Binh	04/03/2024	23.90 °C	65.0%	0.0 mm	9.7 kph	7.0
Bac Ninh	04/03/2024	21.70 °C	84.0%	1.0 mm	22.7 kph	6.0
Vinh Phuc	04/03/2024	23.70 °C	75.0%	0.2 mm	21.2 kph	7.0
Phu Tho	04/03/2024	29.50 °C	59.0%	0.0 mm	26.3 kph	9.0
Hanoi	05/03/2024	26.70 °C	66.0%	0.0 mm	18.7 kph	8.0
Hung Yen	05/03/2024	24.10 °C	80.0%	0.0 mm	19.1 kph	7.0
Ha Nam	05/03/2024	27.30 °C	63.0%	0.0 mm	17.6 kph	9.0
Hoa Binh	05/03/2024	29.50 °C	43.0%	0.0 mm	13.7 kph	10.0
Bac Ninh	05/03/2024	26.20 °C	69.0%	0.0 mm	19.8 kph	8.0
Vinh Phuc	05/03/2024	26.70 °C	66.0%	0.0 mm	18.7 kph	8.0
Phu Tho	05/03/2024	29.50 °C	63.0%	0.0 mm	22.3 kph	9.0
Hanoi	06/03/2024	26.10 °C	66.0%	0.0 mm	22.0 kph	7.0
Hung Yen	06/03/2024	23.90 °C	77.0%	0.0 mm	15.5 kph	6.0
Ha Nam	06/03/2024	24.10 °C	74.0%	0.0 mm	23.8 kph	6.0
Hoa Binh	06/03/2024	25.70 °C	58.0%	0.0 mm	15.8 kph	8.0
Bac Ninh	06/03/2024	25.30 °C	64.0%	0.0 mm	23.4 kph	8.0
Vinh Phuc	06/03/2024	26.10 °C	66.0%	0.0 mm	22.0 kph	7.0
Phu Tho	06/03/2024	30.10 °C	62.0%	0.0 mm	23.8 kph	9.0
Hanoi	07/03/2024	21.60 °C	61.0%	0.0 mm	15.1 kph	5.0
Hung Yen	07/03/2024	20.90 °C	72.0%	0.6 mm	12.2 kph	5.0
Ha Nam	07/03/2024	20.20 °C	85.0%	0.9 mm	16.6 kph	5.0
Hoa Binh	07/03/2024	22.40 °C	70.0%	0.2 mm	10.1 kph	5.0
Bac Ninh	07/03/2024	20.20 °C	63.0%	0.1 mm	16.6 kph	5.0
Vinh Phuc	07/03/2024	21.60 °C	61.0%	0.0 mm	15.1 kph	5.0
Phu Tho	07/03/2024	30.00 °C	59.0%	0.0 mm	23.8 kph	9.0
Hanoi	08/03/2024	19.00 °C	66.0%	0.2 mm	14.8 kph	5.0
Hung Yen	08/03/2024	18.20 °C	77.0%	1.1 mm	13.3 kph	4.0
Ha Nam	08/03/2024	18.70 °C	84.0%	1.4 mm	15.5 kph	4.0
Hoa Binh	08/03/2024	18.60 °C	73.0%	0.5 mm	6.5 kph	4.0
Bac Ninh	08/03/2024	18.30 °C	65.0%	0.3 mm	15.5 kph	4.0
Vinh Phuc	08/03/2024	19.00 °C	66.0%	0.2 mm	14.8 kph	5.0
Phu Tho	08/03/2024	29.80 °C	54.0%	0.0 mm	27.7 kph	9.0
Hanoi	09/03/2024	18.70 °C	77.0%	0.6 mm	12.2 kph	4.0
Hung Yen	09/03/2024	18.40 °C	83.0%	2.0 mm	11.5 kph	4.0
Ha Nam	09/03/2024	19.30 °C	84.0%	0.5 mm	12.6 kph	5.0
Hoa Binh	09/03/2024	19.10 °C	82.0%	0.4 mm	6.1 kph	5.0
Bac Ninh	09/03/2024	18.10 °C	75.0%	0.6 mm	13.0 kph	4.0
Vinh Phuc	09/03/2024	18.70 °C	77.0%	0.6 mm	12.2 kph	4.0
Phu Tho	09/03/2024	30.10 °C	53.0%	0.0 mm	29.9 kph	9.0
Hanoi	10/03/2024	18.00 °C	88.0%	3.1 mm	8.3 kph	4.0
Hung Yen	10/03/2024	18.40 °C	92.0%	6.9 mm	8.3 kph	4.0
Ha Nam	10/03/2024	19.20 °C	88.0%	1.3 mm	9.0 kph	4.0
Hoa Binh	10/03/2024	18.70 °C	88.0%	1.4 mm	6.1 kph	5.0
Bac Ninh	10/03/2024	17.50 °C	89.0%	6.1 mm	9.7 kph	4.0
Vinh Phuc	10/03/2024	18.00 °C	88.0%	3.1 mm	8.3 kph	4.0
Phu Tho	10/03/2024	29.80 °C	52.0%	0.0 mm	27.0 kph	9.0
Hanoi	11/03/2024	18.40 °C	81.0%	1.6 mm	14.8 kph	4.0
Hung Yen	11/03/2024	18.30 °C	88.0%	3.0 mm	8.3 kph	4.0
Ha Nam	11/03/2024	19.00 °C	84.0%	0.9 mm	18.4 kph	4.0
Hoa Binh	11/03/2024	18.50 °C	85.0%	1.0 mm	5.4 kph	4.0
Bac Ninh	11/03/2024	17.60 °C	85.0%	3.2 mm	16.6 kph	4.0
Vinh Phuc	11/03/2024	18.40 °C	81.0%	1.6 mm	14.8 kph	4.0
Phu Tho	11/03/2024	30.40 °C	51.0%	0.0 mm	29.5 kph	9.0
Hanoi	12/03/2024	20.20 °C	78.0%	1.0 mm	16.2 kph	5.0
Hung Yen	12/03/2024	19.50 °C	86.0%	0.2 mm	14.0 kph	5.0
Ha Nam	12/03/2024	20.80 °C	80.0%	0.0 mm	15.1 kph	5.0
Hoa Binh	12/03/2024	21.00 °C	75.0%	0.2 mm	13.0 kph	6.0
Bac Ninh	12/03/2024	19.80 °C	80.0%	0.5 mm	9.0 kph	5.0
Vinh Phuc	12/03/2024	20.20 °C	78.0%	1.0 mm	16.2 kph	5.0
Phu Tho	12/03/2024	29.80 °C	57.0%	0.0 mm	27.0 kph	9.0
Hanoi	13/03/2024	21.80 °C	83.0%	2.0 mm	21.2 kph	5.0
Hung Yen	13/03/2024	20.40 °C	88.0%	0.9 mm	18.0 kph	5.0
Ha Nam	13/03/2024	21.70 °C	84.0%	0.7 mm	20.5 kph	6.0
Hoa Binh	13/03/2024	21.40 °C	75.0%	0.9 mm	16.2 kph	6.0
Bac Ninh	13/03/2024	21.50 °C	83.0%	1.4 mm	15.8 kph	5.0
Vinh Phuc	13/03/2024	21.80 °C	83.0%	2.0 mm	21.2 kph	5.0
Phu Tho	13/03/2024	29.30 °C	58.0%	0.0 mm	27.0 kph	9.0
Hanoi	14/03/2024	20.80 °C	91.0%	7.4 mm	12.2 kph	5.0
Hung Yen	14/03/2024	21.00 °C	87.0%	0.8 mm	19.4 kph	5.0
Ha Nam	14/03/2024	21.80 °C	94.0%	3.3 mm	15.1 kph	5.0
Hoa Binh	14/03/2024	20.00 °C	93.0%	4.6 mm	7.9 kph	5.0
Bac Ninh	14/03/2024	20.90 °C	90.0%	5.9 mm	9.7 kph	5.0
Vinh Phuc	14/03/2024	20.80 °C	91.0%	7.4 mm	12.2 kph	5.0
Phu Tho	14/03/2024	29.60 °C	58.0%	0.0 mm	27.4 kph	9.0
Hanoi	15/03/2024	22.10 °C	89.0%	1.5 mm	16.2 kph	5.0
Hung Yen	15/03/2024	22.10 °C	85.0%	0.2 mm	18.0 kph	5.0
Ha Nam	15/03/2024	22.60 °C	89.0%	0.6 mm	18.4 kph	6.0
Hoa Binh	15/03/2024	21.60 °C	91.0%	1.4 mm	7.6 kph	5.0
Bac Ninh	15/03/2024	22.40 °C	86.0%	1.2 mm	20.2 kph	6.0
Vinh Phuc	15/03/2024	22.10 °C	89.0%	1.5 mm	16.2 kph	5.0
Phu Tho	15/03/2024	29.70 °C	55.0%	0.0 mm	28.1 kph	9.0
Hanoi	16/03/2024	23.90 °C	81.0%	0.7 mm	18.4 kph	6.0
Hung Yen	16/03/2024	23.10 °C	83.0%	0.4 mm	15.5 kph	6.0
Ha Nam	16/03/2024	23.10 °C	86.0%	0.4 mm	18.4 kph	6.0
Hoa Binh	16/03/2024	23.80 °C	82.0%	0.7 mm	9.0 kph	6.0
Bac Ninh	16/03/2024	24.10 °C	79.0%	0.6 mm	17.6 kph	6.0
Vinh Phuc	16/03/2024	23.90 °C	81.0%	0.7 mm	18.4 kph	6.0
Phu Tho	16/03/2024	29.30 °C	60.0%	0.0 mm	26.3 kph	9.0
Hanoi	17/03/2024	24.10 °C	84.0%	0.2 mm	18.0 kph	6.0
Hung Yen	17/03/2024	22.60 °C	91.0%	0.7 mm	16.6 kph	5.0
Ha Nam	17/03/2024	23.90 °C	87.0%	0.1 mm	18.7 kph	6.0
Hoa Binh	17/03/2024	25.50 °C	80.0%	0.3 mm	12.6 kph	7.0
Bac Ninh	17/03/2024	23.30 °C	89.0%	0.6 mm	19.4 kph	6.0
Vinh Phuc	17/03/2024	24.10 °C	84.0%	0.2 mm	18.0 kph	6.0
Phu Tho	17/03/2024	29.80 °C	57.0%	0.0 mm	24.8 kph	9.0
Hanoi	18/03/2024	25.00 °C	80.0%	0.2 mm	17.6 kph	6.0
Hung Yen	18/03/2024	23.80 °C	84.0%	0.5 mm	18.0 kph	6.0
Ha Nam	18/03/2024	24.10 °C	87.0%	0.2 mm	17.6 kph	6.0
Hoa Binh	18/03/2024	26.00 °C	77.0%	0.2 mm	11.9 kph	6.0
Bac Ninh	18/03/2024	24.40 °C	82.0%	0.4 mm	17.6 kph	6.0
Vinh Phuc	18/03/2024	25.00 °C	80.0%	0.2 mm	17.6 kph	6.0
Phu Tho	18/03/2024	29.50 °C	58.0%	0.0 mm	28.4 kph	9.0
Hanoi	19/03/2024	20.30 °C	75.0%	6.1 mm	28.1 kph	5.0
Hung Yen	19/03/2024	21.10 °C	74.0%	0.4 mm	15.5 kph	5.0
Ha Nam	19/03/2024	20.30 °C	85.0%	8.2 mm	22.0 kph	5.0
Hoa Binh	19/03/2024	20.00 °C	86.0%	10.1 mm	11.9 kph	5.0
Bac Ninh	19/03/2024	19.90 °C	72.0%	0.4 mm	31.0 kph	5.0
Vinh Phuc	19/03/2024	20.30 °C	75.0%	6.1 mm	28.1 kph	5.0
Phu Tho	19/03/2024	29.90 °C	52.0%	0.0 mm	29.9 kph	9.0
Hanoi	20/03/2024	18.50 °C	64.0%	0.1 mm	13.3 kph	4.0
Hung Yen	20/03/2024	18.80 °C	70.0%	0.2 mm	5.8 kph	5.0
Ha Nam	20/03/2024	18.00 °C	76.0%	0.3 mm	13.0 kph	4.0
Hoa Binh	20/03/2024	18.40 °C	72.0%	0.3 mm	4.3 kph	4.0
Bac Ninh	20/03/2024	18.00 °C	69.0%	0.1 mm	10.8 kph	4.0
Vinh Phuc	20/03/2024	18.50 °C	64.0%	0.1 mm	13.3 kph	4.0
Phu Tho	20/03/2024	29.80 °C	48.0%	0.0 mm	27.0 kph	9.0
Hanoi	21/03/2024	21.70 °C	69.0%	0.0 mm	23.4 kph	6.0
Hung Yen	21/03/2024	20.00 °C	77.0%	0.0 mm	15.8 kph	5.0
Ha Nam	21/03/2024	20.60 °C	76.0%	0.0 mm	16.6 kph	5.0
Hoa Binh	21/03/2024	22.10 °C	69.0%	0.0 mm	14.0 kph	6.0
Bac Ninh	21/03/2024	20.90 °C	71.0%	0.0 mm	24.1 kph	6.0
Vinh Phuc	21/03/2024	21.70 °C	69.0%	0.0 mm	23.4 kph	6.0
Phu Tho	21/03/2024	29.80 °C	53.0%	0.0 mm	26.3 kph	9.0
Hanoi	22/03/2024	23.20 °C	81.0%	3.2 mm	24.1 kph	6.0
Hung Yen	22/03/2024	21.60 °C	90.0%	3.5 mm	18.4 kph	5.0
Ha Nam	22/03/2024	22.80 °C	84.0%	0.5 mm	20.9 kph	6.0
Hoa Binh	22/03/2024	24.10 °C	77.0%	1.8 mm	11.2 kph	7.0
Bac Ninh	22/03/2024	22.70 °C	83.0%	2.4 mm	28.1 kph	6.0
Vinh Phuc	22/03/2024	23.20 °C	81.0%	3.2 mm	24.1 kph	6.0
Phu Tho	22/03/2024	29.80 °C	56.0%	0.0 mm	28.1 kph	9.0
Hanoi	23/03/2024	25.40 °C	80.0%	0.8 mm	25.6 kph	7.0
Hung Yen	23/03/2024	22.70 °C	93.0%	1.1 mm	21.2 kph	5.0
Ha Nam	23/03/2024	24.60 °C	83.0%	0.5 mm	27.0 kph	7.0
Hoa Binh	23/03/2024	26.40 °C	75.0%	0.1 mm	16.9 kph	7.0
Bac Ninh	23/03/2024	24.20 °C	86.0%	0.9 mm	30.6 kph	6.0
Vinh Phuc	23/03/2024	25.40 °C	80.0%	0.8 mm	25.6 kph	7.0
Phu Tho	23/03/2024	29.30 °C	63.0%	0.0 mm	24.5 kph	8.0
Hanoi	24/03/2024	25.40 °C	81.0%	0.4 mm	24.1 kph	6.0
Hung Yen	24/03/2024	23.60 °C	89.0%	0.4 mm	20.9 kph	5.0
Ha Nam	24/03/2024	25.00 °C	83.0%	0.5 mm	24.5 kph	7.0
Hoa Binh	24/03/2024	26.60 °C	78.0%	2.2 mm	15.8 kph	7.0
Bac Ninh	24/03/2024	24.80 °C	84.0%	4.2 mm	25.6 kph	6.0
Vinh Phuc	24/03/2024	25.40 °C	81.0%	0.4 mm	24.1 kph	6.0
Phu Tho	24/03/2024	29.90 °C	60.0%	0.0 mm	24.5 kph	9.0
Hanoi	25/03/2024	25.50 °C	81.0%	0.3 mm	16.9 kph	6.0
Hung Yen	25/03/2024	24.60 °C	83.0%	0.1 mm	18.4 kph	6.0
Ha Nam	25/03/2024	24.40 °C	87.0%	0.0 mm	18.7 kph	6.0
Hoa Binh	25/03/2024	26.30 °C	78.0%	0.1 mm	11.5 kph	7.0
Bac Ninh	25/03/2024	25.30 °C	80.0%	0.1 mm	20.5 kph	6.0
Vinh Phuc	25/03/2024	25.50 °C	81.0%	0.3 mm	16.9 kph	6.0
Phu Tho	25/03/2024	30.20 °C	62.0%	0.0 mm	27.0 kph	9.0
Hanoi	26/03/2024	25.90 °C	77.0%	0.2 mm	19.1 kph	7.0
Hung Yen	26/03/2024	24.80 °C	80.0%	0.0 mm	15.1 kph	6.0
Ha Nam	26/03/2024	24.60 °C	86.0%	0.1 mm	16.9 kph	6.0
Hoa Binh	26/03/2024	26.10 °C	77.0%	0.2 mm	12.2 kph	7.0
Bac Ninh	26/03/2024	25.40 °C	78.0%	0.1 mm	20.9 kph	7.0
Vinh Phuc	26/03/2024	25.90 °C	77.0%	0.2 mm	19.1 kph	7.0
Phu Tho	26/03/2024	31.20 °C	54.0%	0.0 mm	29.5 kph	9.0
Hanoi	27/03/2024	26.10 °C	75.0%	0.2 mm	22.0 kph	7.0
Hung Yen	27/03/2024	24.10 °C	82.0%	0.1 mm	17.3 kph	6.0
Ha Nam	27/03/2024	24.90 °C	82.0%	0.4 mm	20.2 kph	6.0
Hoa Binh	27/03/2024	26.10 °C	78.0%	9.6 mm	12.6 kph	7.0
Bac Ninh	27/03/2024	25.40 °C	76.0%	0.3 mm	24.1 kph	6.0
Vinh Phuc	27/03/2024	26.10 °C	75.0%	0.2 mm	22.0 kph	7.0
Phu Tho	27/03/2024	31.40 °C	53.0%	0.0 mm	28.8 kph	9.0
Hanoi	28/03/2024	24.20 °C	86.0%	5.4 mm	16.6 kph	6.0
Hung Yen	28/03/2024	23.60 °C	89.0%	2.1 mm	17.3 kph	6.0
Ha Nam	28/03/2024	24.50 °C	86.0%	2.2 mm	17.6 kph	6.0
Hoa Binh	28/03/2024	24.80 °C	83.0%	7.6 mm	11.2 kph	7.0
Bac Ninh	28/03/2024	23.40 °C	88.0%	3.2 mm	14.8 kph	6.0
Vinh Phuc	28/03/2024	24.20 °C	86.0%	5.4 mm	16.6 kph	6.0
Phu Tho	28/03/2024	30.90 °C	57.0%	0.1 mm	23.8 kph	8.0
Hanoi	29/03/2024	26.20 °C	76.0%	1.1 mm	21.2 kph	7.0
Hung Yen	29/03/2024	24.90 °C	78.0%	0.3 mm	18.4 kph	6.0
Ha Nam	29/03/2024	24.30 °C	85.0%	7.1 mm	16.2 kph	6.0
Hoa Binh	29/03/2024	25.80 °C	82.0%	8.0 mm	13.0 kph	7.0
Bac Ninh	29/03/2024	25.90 °C	76.0%	0.9 mm	21.6 kph	7.0
Vinh Phuc	29/03/2024	26.20 °C	76.0%	1.1 mm	21.2 kph	7.0
Phu Tho	29/03/2024	30.10 °C	64.0%	0.4 mm	26.6 kph	7.0
Hanoi	30/03/2024	26.90 °C	77.0%	4.4 mm	22.0 kph	7.0
Hung Yen	30/03/2024	25.00 °C	85.0%	0.6 mm	19.8 kph	6.0
Ha Nam	30/03/2024	26.00 °C	81.0%	0.0 mm	18.7 kph	7.0
Hoa Binh	30/03/2024	26.80 °C	79.0%	0.4 mm	9.4 kph	7.0
