city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Dong Nai	13/02/2024	18.70 °C	88.0%	0.3 mm	8.6 kph	5.0
Ba Ria Vung Tau	13/02/2024	26.40 °C	72.0%	0.0 mm	42.1 kph	7.0
Tien Giang	13/02/2024	19.10 °C	83.0%	0.4 mm	14.0 kph	5.0
Tay Ninh	13/02/2024	28.00 °C	54.0%	0.0 mm	23.0 kph	8.0
Binh Duong	13/02/2024	21.70 °C	83.0%	1.8 mm	14.0 kph	5.0
Ho Chi Minh City	14/02/2024	29.50 °C	52.0%	0.0 mm	22.0 kph	9.0
Binh Phuoc	14/02/2024	28.80 °C	57.0%	0.0 mm	23.8 kph	9.0
Dong Nai	14/02/2024	20.60 °C	86.0%	0.0 mm	14.8 kph	5.0
Ba Ria Vung Tau	14/02/2024	26.80 °C	74.0%	0.0 mm	42.5 kph	7.0
Tien Giang	14/02/2024	21.60 °C	74.0%	0.4 mm	20.9 kph	6.0
Tay Ninh	14/02/2024	28.80 °C	58.0%	0.0 mm	26.3 kph	9.0
Binh Duong	14/02/2024	22.00 °C	87.0%	0.6 mm	15.8 kph	5.0
Ho Chi Minh City	15/02/2024	30.20 °C	51.0%	0.0 mm	29.2 kph	9.0
Binh Phuoc	15/02/2024	29.30 °C	57.0%	0.0 mm	28.8 kph	9.0
Dong Nai	15/02/2024	21.40 °C	89.0%	0.8 mm	12.2 kph	5.0
Ba Ria Vung Tau	15/02/2024	27.20 °C	74.0%	0.0 mm	40.7 kph	7.0
Tien Giang	15/02/2024	21.10 °C	80.0%	0.8 mm	12.6 kph	5.0
Tay Ninh	15/02/2024	29.70 °C	54.0%	0.0 mm	30.6 kph	9.0
Binh Duong	15/02/2024	22.40 °C	89.0%	0.8 mm	12.6 kph	5.0
Ho Chi Minh City	16/02/2024	29.50 °C	52.0%	0.0 mm	26.6 kph	9.0
Binh Phuoc	16/02/2024	28.70 °C	57.0%	0.0 mm	27.0 kph	9.0
Dong Nai	16/02/2024	21.30 °C	85.0%	1.2 mm	11.9 kph	5.0
Ba Ria Vung Tau	16/02/2024	26.90 °C	73.0%	0.0 mm	45.0 kph	7.0
Tien Giang	16/02/2024	21.70 °C	71.0%	0.4 mm	17.6 kph	6.0
Tay Ninh	16/02/2024	29.00 °C	58.0%	0.0 mm	30.2 kph	9.0
Binh Duong	16/02/2024	22.40 °C	90.0%	2.7 mm	11.2 kph	5.0
Ho Chi Minh City	17/02/2024	28.70 °C	54.0%	0.0 mm	24.1 kph	9.0
Binh Phuoc	17/02/2024	28.20 °C	57.0%	0.0 mm	24.1 kph	9.0
Dong Nai	17/02/2024	21.70 °C	83.0%	0.0 mm	15.8 kph	7.0
Ba Ria Vung Tau	17/02/2024	26.70 °C	73.0%	0.0 mm	44.6 kph	7.0
Tien Giang	17/02/2024	22.20 °C	74.0%	0.1 mm	21.6 kph	6.0
Tay Ninh	17/02/2024	28.30 °C	57.0%	0.0 mm	25.2 kph	9.0
Binh Duong	17/02/2024	22.20 °C	84.0%	0.0 mm	15.8 kph	7.0
Ho Chi Minh City	18/02/2024	28.80 °C	61.0%	0.0 mm	25.9 kph	9.0
Binh Phuoc	18/02/2024	28.00 °C	68.0%	0.0 mm	23.4 kph	8.0
Dong Nai	18/02/2024	23.10 °C	82.0%	0.0 mm	13.3 kph	6.0
Ba Ria Vung Tau	18/02/2024	26.60 °C	80.0%	0.0 mm	31.3 kph	7.0
Tien Giang	18/02/2024	24.50 °C	75.0%	0.3 mm	25.6 kph	6.0
Tay Ninh	18/02/2024	28.60 °C	63.0%	0.0 mm	27.4 kph	9.0
Binh Duong	18/02/2024	22.80 °C	86.0%	0.0 mm	20.9 kph	7.0
Ho Chi Minh City	19/02/2024	29.00 °C	64.0%	0.0 mm	25.9 kph	9.0
Binh Phuoc	19/02/2024	28.20 °C	70.0%	0.0 mm	23.0 kph	8.0
Dong Nai	19/02/2024	25.30 °C	75.0%	0.0 mm	13.3 kph	8.0
Ba Ria Vung Tau	19/02/2024	26.50 °C	82.0%	0.0 mm	28.8 kph	7.0
Tien Giang	19/02/2024	25.40 °C	75.0%	0.1 mm	23.0 kph	7.0
Tay Ninh	19/02/2024	29.30 °C	64.0%	0.0 mm	26.3 kph	9.0
Binh Duong	19/02/2024	23.90 °C	85.0%	0.0 mm	19.8 kph	7.0
Ho Chi Minh City	20/02/2024	28.90 °C	65.0%	0.0 mm	26.3 kph	9.0
Binh Phuoc	20/02/2024	28.00 °C	71.0%	0.0 mm	22.0 kph	8.0
Dong Nai	20/02/2024	26.10 °C	71.0%	0.0 mm	17.6 kph	8.0
Ba Ria Vung Tau	20/02/2024	26.50 °C	83.0%	0.0 mm	27.0 kph	7.0
Tien Giang	20/02/2024	25.70 °C	74.0%	0.1 mm	24.5 kph	7.0
Tay Ninh	20/02/2024	29.30 °C	62.0%	0.0 mm	23.4 kph	9.0
Binh Duong	20/02/2024	24.30 °C	87.0%	0.0 mm	19.8 kph	6.0
Ho Chi Minh City	21/02/2024	28.60 °C	67.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	21/02/2024	27.80 °C	71.0%	0.1 mm	22.7 kph	7.0
Dong Nai	21/02/2024	26.40 °C	71.0%	0.0 mm	19.1 kph	8.0
Ba Ria Vung Tau	21/02/2024	26.60 °C	81.0%	0.1 mm	25.2 kph	6.0
Tien Giang	21/02/2024	26.40 °C	72.0%	0.0 mm	25.6 kph	7.0
Tay Ninh	21/02/2024	29.00 °C	63.0%	0.0 mm	28.1 kph	8.0
Binh Duong	21/02/2024	24.30 °C	85.0%	0.0 mm	20.9 kph	6.0
Ho Chi Minh City	22/02/2024	28.80 °C	65.0%	0.0 mm	25.2 kph	9.0
Binh Phuoc	22/02/2024	27.90 °C	69.0%	0.0 mm	21.2 kph	8.0
Dong Nai	22/02/2024	24.90 °C	80.0%	0.0 mm	14.8 kph	7.0
Ba Ria Vung Tau	22/02/2024	26.60 °C	81.0%	0.0 mm	24.8 kph	7.0
Tien Giang	22/02/2024	25.10 °C	76.0%	0.2 mm	19.8 kph	6.0
Tay Ninh	22/02/2024	29.00 °C	62.0%	0.0 mm	27.0 kph	8.0
Binh Duong	22/02/2024	24.10 °C	88.0%	0.0 mm	18.7 kph	6.0
Ho Chi Minh City	23/02/2024	29.00 °C	65.0%	0.0 mm	25.2 kph	9.0
Binh Phuoc	23/02/2024	28.40 °C	68.0%	0.1 mm	22.7 kph	7.0
Dong Nai	23/02/2024	24.10 °C	84.0%	0.6 mm	15.5 kph	6.0
Ba Ria Vung Tau	23/02/2024	27.20 °C	80.0%	0.2 mm	32.0 kph	6.0
Tien Giang	23/02/2024	23.10 °C	79.0%	1.1 mm	16.2 kph	5.0
Tay Ninh	23/02/2024	29.10 °C	63.0%	0.0 mm	26.3 kph	8.0
Binh Duong	23/02/2024	23.80 °C	88.0%	0.3 mm	19.4 kph	7.0
Ho Chi Minh City	24/02/2024	29.70 °C	58.0%	0.0 mm	28.4 kph	9.0
Binh Phuoc	24/02/2024	28.90 °C	64.0%	0.0 mm	26.6 kph	9.0
Dong Nai	24/02/2024	23.50 °C	82.0%	1.0 mm	16.9 kph	6.0
Ba Ria Vung Tau	24/02/2024	27.20 °C	79.0%	0.0 mm	38.9 kph	7.0
Tien Giang	24/02/2024	21.30 °C	80.0%	1.2 mm	17.6 kph	5.0
Tay Ninh	24/02/2024	29.40 °C	62.0%	0.0 mm	31.0 kph	8.0
Binh Duong	24/02/2024	23.10 °C	82.0%	0.1 mm	14.4 kph	7.0
Ho Chi Minh City	25/02/2024	29.30 °C	52.0%	0.0 mm	20.5 kph	9.0
Binh Phuoc	25/02/2024	28.80 °C	57.0%	0.0 mm	22.7 kph	9.0
Dong Nai	25/02/2024	18.80 °C	89.0%	2.0 mm	13.3 kph	4.0
Ba Ria Vung Tau	25/02/2024	27.20 °C	71.0%	0.0 mm	38.2 kph	7.0
Tien Giang	25/02/2024	15.50 °C	76.0%	0.2 mm	8.3 kph	4.0
Tay Ninh	25/02/2024	28.70 °C	56.0%	0.0 mm	20.5 kph	9.0
Binh Duong	25/02/2024	22.50 °C	80.0%	0.1 mm	10.4 kph	6.0
Ho Chi Minh City	26/02/2024	29.50 °C	52.0%	0.0 mm	23.4 kph	9.0
Binh Phuoc	26/02/2024	28.90 °C	57.0%	0.0 mm	24.5 kph	9.0
Dong Nai	26/02/2024	19.50 °C	88.0%	0.5 mm	11.9 kph	5.0
Ba Ria Vung Tau	26/02/2024	27.10 °C	72.0%	0.0 mm	38.9 kph	7.0
Tien Giang	26/02/2024	17.20 °C	76.0%	0.2 mm	13.3 kph	5.0
Tay Ninh	26/02/2024	28.90 °C	55.0%	0.0 mm	23.8 kph	9.0
Binh Duong	26/02/2024	22.60 °C	82.0%	1.0 mm	15.1 kph	6.0
Ho Chi Minh City	27/02/2024	29.80 °C	54.0%	0.3 mm	26.6 kph	8.0
Binh Phuoc	27/02/2024	29.40 °C	58.0%	0.0 mm	30.2 kph	8.0
Dong Nai	27/02/2024	19.70 °C	93.0%	4.3 mm	15.5 kph	5.0
Ba Ria Vung Tau	27/02/2024	27.30 °C	76.0%	0.1 mm	43.9 kph	6.0
Tien Giang	27/02/2024	16.00 °C	83.0%	2.0 mm	10.1 kph	4.0
Tay Ninh	27/02/2024	29.80 °C	56.0%	0.0 mm	32.4 kph	9.0
Binh Duong	27/02/2024	23.00 °C	90.0%	4.0 mm	5.4 kph	5.0
Ho Chi Minh City	28/02/2024	29.80 °C	53.0%	0.0 mm	25.6 kph	9.0
Binh Phuoc	28/02/2024	29.10 °C	58.0%	0.0 mm	29.2 kph	9.0
Dong Nai	28/02/2024	19.70 °C	89.0%	0.3 mm	12.2 kph	5.0
Ba Ria Vung Tau	28/02/2024	27.20 °C	75.0%	0.0 mm	44.6 kph	7.0
Tien Giang	28/02/2024	16.50 °C	80.0%	0.2 mm	11.5 kph	4.0
Tay Ninh	28/02/2024	29.10 °C	59.0%	0.0 mm	26.6 kph	7.0
Binh Duong	28/02/2024	23.30 °C	85.0%	0.4 mm	15.5 kph	6.0
Ho Chi Minh City	29/02/2024	29.60 °C	51.0%	0.0 mm	28.1 kph	9.0
Binh Phuoc	29/02/2024	29.00 °C	56.0%	0.0 mm	27.0 kph	9.0
Dong Nai	29/02/2024	21.50 °C	86.0%	0.2 mm	14.8 kph	5.0
Ba Ria Vung Tau	29/02/2024	27.30 °C	73.0%	0.0 mm	42.1 kph	7.0
Tien Giang	29/02/2024	19.40 °C	81.0%	1.9 mm	19.4 kph	5.0
Tay Ninh	29/02/2024	29.40 °C	55.0%	0.0 mm	29.9 kph	9.0
Binh Duong	29/02/2024	23.20 °C	86.0%	0.0 mm	19.4 kph	7.0
Ho Chi Minh City	01/03/2024	30.00 °C	50.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	01/03/2024	29.20 °C	56.0%	0.0 mm	27.4 kph	9.0
Dong Nai	01/03/2024	19.40 °C	92.0%	6.1 mm	17.6 kph	5.0
Ba Ria Vung Tau	01/03/2024	27.40 °C	74.0%	0.0 mm	43.2 kph	7.0
Tien Giang	01/03/2024	14.00 °C	72.0%	0.6 mm	18.0 kph	4.0
Tay Ninh	01/03/2024	29.60 °C	55.0%	0.0 mm	29.9 kph	9.0
Binh Duong	01/03/2024	23.70 °C	84.0%	1.8 mm	17.3 kph	6.0
Ho Chi Minh City	02/03/2024	29.90 °C	54.0%	0.0 mm	27.4 kph	9.0
Binh Phuoc	02/03/2024	29.30 °C	58.0%	0.0 mm	28.1 kph	9.0
Dong Nai	02/03/2024	17.00 °C	88.0%	1.3 mm	13.3 kph	4.0
Ba Ria Vung Tau	02/03/2024	27.20 °C	73.0%	0.0 mm	47.9 kph	7.0
Tien Giang	02/03/2024	14.20 °C	63.0%	0.0 mm	9.7 kph	4.0
Tay Ninh	02/03/2024	30.30 °C	53.0%	0.0 mm	30.2 kph	9.0
Binh Duong	02/03/2024	21.40 °C	86.0%	0.5 mm	12.6 kph	5.0
Ho Chi Minh City	03/03/2024	29.80 °C	56.0%	0.0 mm	25.9 kph	9.0
Binh Phuoc	03/03/2024	29.00 °C	61.0%	0.0 mm	26.3 kph	9.0
Dong Nai	03/03/2024	19.00 °C	84.0%	0.1 mm	14.4 kph	5.0
Ba Ria Vung Tau	03/03/2024	27.40 °C	75.0%	0.0 mm	43.9 kph	7.0
Tien Giang	03/03/2024	18.60 °C	76.0%	0.0 mm	17.6 kph	5.0
Tay Ninh	03/03/2024	29.70 °C	59.0%	0.0 mm	29.2 kph	9.0
Binh Duong	03/03/2024	22.70 °C	82.0%	0.1 mm	15.8 kph	6.0
Ho Chi Minh City	04/03/2024	29.50 °C	59.0%	0.0 mm	26.3 kph	9.0
Binh Phuoc	04/03/2024	28.90 °C	63.0%	0.0 mm	24.1 kph	8.0
Dong Nai	04/03/2024	24.20 °C	77.0%	0.0 mm	16.2 kph	8.0
Ba Ria Vung Tau	04/03/2024	27.00 °C	77.0%	0.0 mm	38.5 kph	7.0
Tien Giang	04/03/2024	23.70 °C	75.0%	0.2 mm	21.2 kph	7.0
Tay Ninh	04/03/2024	29.90 °C	58.0%	0.0 mm	24.1 kph	9.0
Binh Duong	04/03/2024	24.00 °C	84.0%	0.0 mm	23.8 kph	7.0
Ho Chi Minh City	05/03/2024	29.50 °C	63.0%	0.0 mm	22.3 kph	9.0
Binh Phuoc	05/03/2024	28.80 °C	66.0%	0.0 mm	20.2 kph	9.0
Dong Nai	05/03/2024	29.10 °C	49.0%	0.0 mm	13.0 kph	9.0
Ba Ria Vung Tau	05/03/2024	26.60 °C	78.0%	0.0 mm	24.8 kph	7.0
Tien Giang	05/03/2024	26.70 °C	66.0%	0.0 mm	18.7 kph	8.0
Tay Ninh	05/03/2024	30.60 °C	56.0%	0.0 mm	25.2 kph	9.0
Binh Duong	05/03/2024	25.50 °C	76.0%	0.0 mm	19.4 kph	8.0
Ho Chi Minh City	06/03/2024	30.10 °C	62.0%	0.0 mm	23.8 kph	9.0
Binh Phuoc	06/03/2024	29.30 °C	66.0%	0.0 mm	23.0 kph	9.0
Dong Nai	06/03/2024	25.30 °C	64.0%	0.3 mm	19.8 kph	7.0
Ba Ria Vung Tau	06/03/2024	27.00 °C	77.0%	0.0 mm	24.5 kph	7.0
Tien Giang	06/03/2024	26.10 °C	66.0%	0.0 mm	22.0 kph	7.0
Tay Ninh	06/03/2024	31.30 °C	55.0%	0.0 mm	27.4 kph	9.0
Binh Duong	06/03/2024	26.00 °C	71.0%	0.0 mm	17.3 kph	8.0
Ho Chi Minh City	07/03/2024	30.00 °C	59.0%	0.0 mm	23.8 kph	9.0
Binh Phuoc	07/03/2024	29.30 °C	63.0%	0.0 mm	23.0 kph	9.0
Dong Nai	07/03/2024	21.60 °C	89.0%	1.2 mm	14.0 kph	5.0
Ba Ria Vung Tau	07/03/2024	27.50 °C	73.0%	0.0 mm	26.6 kph	7.0
Tien Giang	07/03/2024	21.60 °C	61.0%	0.0 mm	15.1 kph	5.0
Tay Ninh	07/03/2024	30.90 °C	56.0%	0.0 mm	22.3 kph	9.0
Binh Duong	07/03/2024	24.10 °C	84.0%	0.1 mm	21.6 kph	6.0
Ho Chi Minh City	08/03/2024	29.80 °C	54.0%	0.0 mm	27.7 kph	9.0
Binh Phuoc	08/03/2024	29.00 °C	59.0%	0.0 mm	27.4 kph	9.0
Dong Nai	08/03/2024	19.70 °C	90.0%	2.7 mm	16.2 kph	5.0
Ba Ria Vung Tau	08/03/2024	27.30 °C	73.0%	0.0 mm	46.4 kph	7.0
Tien Giang	08/03/2024	19.00 °C	66.0%	0.2 mm	14.8 kph	5.0
Tay Ninh	08/03/2024	29.70 °C	56.0%	0.0 mm	31.0 kph	8.0
Binh Duong	08/03/2024	23.80 °C	82.0%	1.1 mm	13.0 kph	6.0
Ho Chi Minh City	09/03/2024	30.10 °C	53.0%	0.0 mm	29.9 kph	9.0
Binh Phuoc	09/03/2024	29.40 °C	57.0%	0.0 mm	29.9 kph	9.0
Dong Nai	09/03/2024	20.00 °C	89.0%	0.7 mm	11.9 kph	5.0
Ba Ria Vung Tau	09/03/2024	27.60 °C	72.0%	0.0 mm	45.7 kph	7.0
Tien Giang	09/03/2024	18.70 °C	77.0%	0.6 mm	12.2 kph	4.0
Tay Ninh	09/03/2024	29.80 °C	56.0%	0.0 mm	32.0 kph	9.0
Binh Duong	09/03/2024	23.90 °C	83.0%	1.8 mm	14.0 kph	6.0
Ho Chi Minh City	10/03/2024	29.80 °C	52.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	10/03/2024	29.00 °C	58.0%	0.0 mm	28.8 kph	9.0
Dong Nai	10/03/2024	20.30 °C	92.0%	1.1 mm	11.9 kph	5.0
Ba Ria Vung Tau	10/03/2024	27.50 °C	73.0%	0.0 mm	42.1 kph	7.0
Tien Giang	10/03/2024	18.00 °C	88.0%	3.1 mm	8.3 kph	4.0
Tay Ninh	10/03/2024	29.40 °C	56.0%	0.0 mm	26.3 kph	8.0
Binh Duong	10/03/2024	23.70 °C	87.0%	3.2 mm	15.5 kph	6.0
Ho Chi Minh City	11/03/2024	30.40 °C	51.0%	0.0 mm	29.5 kph	9.0
Binh Phuoc	11/03/2024	29.40 °C	59.0%	0.0 mm	29.2 kph	9.0
Dong Nai	11/03/2024	19.90 °C	93.0%	3.3 mm	16.2 kph	5.0
Ba Ria Vung Tau	11/03/2024	27.30 °C	76.0%	0.0 mm	39.6 kph	7.0
Tien Giang	11/03/2024	18.40 °C	81.0%	1.6 mm	14.8 kph	4.0
Tay Ninh	11/03/2024	30.20 °C	54.0%	0.0 mm	22.7 kph	9.0
Binh Duong	11/03/2024	23.40 °C	87.0%	1.0 mm	13.3 kph	6.0
Ho Chi Minh City	12/03/2024	29.80 °C	57.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	12/03/2024	29.20 °C	62.0%	0.0 mm	28.1 kph	9.0
Dong Nai	12/03/2024	20.70 °C	86.0%	0.1 mm	16.2 kph	5.0
Ba Ria Vung Tau	12/03/2024	27.30 °C	76.0%	0.0 mm	40.3 kph	6.0
Tien Giang	12/03/2024	20.20 °C	78.0%	1.0 mm	16.2 kph	5.0
Tay Ninh	12/03/2024	29.80 °C	58.0%	0.0 mm	25.9 kph	8.0
Binh Duong	12/03/2024	23.40 °C	83.0%	0.3 mm	16.6 kph	6.0
Ho Chi Minh City	13/03/2024	29.30 °C	58.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	13/03/2024	28.80 °C	62.0%	0.0 mm	26.6 kph	9.0
Dong Nai	13/03/2024	21.90 °C	86.0%	0.0 mm	13.7 kph	6.0
Ba Ria Vung Tau	13/03/2024	27.40 °C	73.0%	0.0 mm	39.2 kph	7.0
Tien Giang	13/03/2024	21.80 °C	83.0%	2.0 mm	21.2 kph	5.0
Tay Ninh	13/03/2024	29.90 °C	57.0%	0.0 mm	27.7 kph	9.0
Binh Duong	13/03/2024	23.70 °C	86.0%	0.3 mm	18.7 kph	6.0
Ho Chi Minh City	14/03/2024	29.60 °C	58.0%	0.0 mm	27.4 kph	9.0
Binh Phuoc	14/03/2024	29.10 °C	62.0%	0.0 mm	25.6 kph	8.0
Dong Nai	14/03/2024	23.90 °C	88.0%	1.4 mm	16.6 kph	6.0
Ba Ria Vung Tau	14/03/2024	27.50 °C	72.0%	0.0 mm	34.6 kph	6.0
Tien Giang	14/03/2024	20.80 °C	91.0%	7.4 mm	12.2 kph	5.0
Tay Ninh	14/03/2024	30.40 °C	56.0%	0.0 mm	26.3 kph	9.0
Binh Duong	14/03/2024	24.00 °C	86.0%	0.4 mm	21.2 kph	6.0
Ho Chi Minh City	15/03/2024	29.70 °C	55.0%	0.0 mm	28.1 kph	9.0
Binh Phuoc	15/03/2024	28.90 °C	60.0%	0.0 mm	24.5 kph	8.0
Dong Nai	15/03/2024	24.20 °C	85.0%	0.0 mm	18.0 kph	6.0
Ba Ria Vung Tau	15/03/2024	27.30 °C	74.0%	0.0 mm	32.4 kph	6.0
Tien Giang	15/03/2024	22.10 °C	89.0%	1.5 mm	16.2 kph	5.0
Tay Ninh	15/03/2024	30.30 °C	54.0%	0.0 mm	29.2 kph	8.0
Binh Duong	15/03/2024	23.80 °C	86.0%	0.2 mm	22.3 kph	6.0
Ho Chi Minh City	16/03/2024	29.30 °C	60.0%	0.0 mm	26.3 kph	9.0
Binh Phuoc	16/03/2024	28.80 °C	65.0%	0.0 mm	26.6 kph	9.0
Dong Nai	16/03/2024	23.80 °C	87.0%	0.5 mm	15.1 kph	6.0
Ba Ria Vung Tau	16/03/2024	27.40 °C	76.0%	0.1 mm	31.3 kph	6.0
Tien Giang	16/03/2024	23.90 °C	81.0%	0.7 mm	18.4 kph	6.0
Tay Ninh	16/03/2024	29.60 °C	60.0%	0.0 mm	28.8 kph	8.0
Binh Duong	16/03/2024	23.90 °C	81.0%	0.0 mm	20.5 kph	7.0
Ho Chi Minh City	17/03/2024	29.80 °C	57.0%	0.0 mm	24.8 kph	9.0
Binh Phuoc	17/03/2024	29.30 °C	61.0%	0.0 mm	27.0 kph	9.0
Dong Nai	17/03/2024	24.70 °C	86.0%	3.8 mm	15.8 kph	6.0
Ba Ria Vung Tau	17/03/2024	27.70 °C	74.0%	0.0 mm	31.3 kph	7.0
Tien Giang	17/03/2024	24.10 °C	84.0%	0.2 mm	18.0 kph	6.0
Tay Ninh	17/03/2024	30.00 °C	57.0%	0.0 mm	23.8 kph	9.0
Binh Duong	17/03/2024	24.00 °C	83.0%	0.0 mm	18.7 kph	7.0
Ho Chi Minh City	18/03/2024	29.50 °C	58.0%	0.0 mm	28.4 kph	9.0
Binh Phuoc	18/03/2024	28.90 °C	61.0%	0.0 mm	25.9 kph	8.0
Dong Nai	18/03/2024	24.60 °C	86.0%	3.5 mm	12.6 kph	6.0
Ba Ria Vung Tau	18/03/2024	27.50 °C	73.0%	0.0 mm	35.6 kph	7.0
Tien Giang	18/03/2024	25.00 °C	80.0%	0.2 mm	17.6 kph	6.0
Tay Ninh	18/03/2024	30.20 °C	56.0%	0.0 mm	31.0 kph	9.0
Binh Duong	18/03/2024	24.30 °C	84.0%	0.0 mm	21.2 kph	7.0
Ho Chi Minh City	19/03/2024	29.90 °C	52.0%	0.0 mm	29.9 kph	9.0
Binh Phuoc	19/03/2024	29.30 °C	57.0%	0.0 mm	28.1 kph	9.0
Dong Nai	19/03/2024	22.00 °C	92.0%	10.4 mm	21.6 kph	5.0
Ba Ria Vung Tau	19/03/2024	27.60 °C	72.0%	0.0 mm	43.2 kph	7.0
Tien Giang	19/03/2024	20.30 °C	75.0%	6.1 mm	28.1 kph	5.0
Tay Ninh	19/03/2024	30.20 °C	52.0%	0.0 mm	33.1 kph	9.0
Binh Duong	19/03/2024	23.80 °C	83.0%	2.0 mm	11.5 kph	6.0
Ho Chi Minh City	20/03/2024	29.80 °C	48.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	20/03/2024	29.20 °C	53.0%	0.0 mm	25.9 kph	9.0
Dong Nai	20/03/2024	18.40 °C	89.0%	2.7 mm	16.6 kph	4.0
Ba Ria Vung Tau	20/03/2024	27.50 °C	70.0%	0.0 mm	44.6 kph	7.0
Tien Giang	20/03/2024	18.50 °C	64.0%	0.1 mm	13.3 kph	4.0
Tay Ninh	20/03/2024	30.30 °C	48.0%	0.0 mm	33.5 kph	9.0
Binh Duong	20/03/2024	23.20 °C	88.0%	19.8 mm	20.2 kph	5.0
Ho Chi Minh City	21/03/2024	29.80 °C	53.0%	0.0 mm	26.3 kph	9.0
Binh Phuoc	21/03/2024	29.30 °C	57.0%	0.0 mm	27.0 kph	9.0
Dong Nai	21/03/2024	20.40 °C	82.0%	0.1 mm	13.7 kph	5.0
Ba Ria Vung Tau	21/03/2024	27.20 °C	73.0%	0.0 mm	40.0 kph	7.0
Tien Giang	21/03/2024	21.70 °C	69.0%	0.0 mm	23.4 kph	6.0
Tay Ninh	21/03/2024	30.10 °C	55.0%	0.0 mm	29.2 kph	9.0
Binh Duong	21/03/2024	22.10 °C	85.0%	1.0 mm	11.5 kph	6.0
Ho Chi Minh City	22/03/2024	29.80 °C	56.0%	0.0 mm	28.1 kph	9.0
Binh Phuoc	22/03/2024	29.20 °C	61.0%	0.0 mm	27.0 kph	8.0
Dong Nai	22/03/2024	23.30 °C	82.0%	0.0 mm	13.7 kph	7.0
Ba Ria Vung Tau	22/03/2024	27.40 °C	75.0%	0.0 mm	39.2 kph	7.0
Tien Giang	22/03/2024	23.20 °C	81.0%	3.2 mm	24.1 kph	6.0
Tay Ninh	22/03/2024	30.50 °C	55.0%	0.0 mm	29.9 kph	9.0
Binh Duong	22/03/2024	23.70 °C	85.0%	0.3 mm	22.0 kph	6.0
Ho Chi Minh City	23/03/2024	29.30 °C	63.0%	0.0 mm	24.5 kph	8.0
Binh Phuoc	23/03/2024	29.00 °C	65.0%	0.2 mm	24.1 kph	7.0
Dong Nai	23/03/2024	25.60 °C	78.0%	0.0 mm	15.1 kph	7.0
Ba Ria Vung Tau	23/03/2024	27.40 °C	77.0%	0.4 mm	28.4 kph	6.0
Tien Giang	23/03/2024	25.40 °C	80.0%	0.8 mm	25.6 kph	7.0
Tay Ninh	23/03/2024	30.30 °C	58.0%	0.0 mm	25.6 kph	8.0
Binh Duong	23/03/2024	25.00 °C	83.0%	0.2 mm	25.6 kph	6.0
Ho Chi Minh City	24/03/2024	29.90 °C	60.0%	0.0 mm	24.5 kph	9.0
Binh Phuoc	24/03/2024	29.50 °C	62.0%	0.0 mm	22.3 kph	9.0
Dong Nai	24/03/2024	26.00 °C	77.0%	0.8 mm	13.3 kph	7.0
Ba Ria Vung Tau	24/03/2024	27.70 °C	76.0%	0.1 mm	28.4 kph	6.0
Tien Giang	24/03/2024	25.40 °C	81.0%	0.4 mm	24.1 kph	6.0
Tay Ninh	24/03/2024	30.70 °C	56.0%	0.0 mm	27.7 kph	9.0
Binh Duong	24/03/2024	25.40 °C	83.0%	0.3 mm	24.5 kph	6.0
Ho Chi Minh City	25/03/2024	30.20 °C	62.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	25/03/2024	29.80 °C	65.0%	0.2 mm	24.1 kph	8.0
Dong Nai	25/03/2024	26.30 °C	79.0%	0.2 mm	14.4 kph	7.0
Ba Ria Vung Tau	25/03/2024	27.80 °C	79.0%	0.2 mm	32.0 kph	6.0
Tien Giang	25/03/2024	25.50 °C	81.0%	0.3 mm	16.9 kph	6.0
Tay Ninh	25/03/2024	30.60 °C	58.0%	0.0 mm	31.0 kph	8.0
Binh Duong	25/03/2024	25.30 °C	86.0%	0.1 mm	22.7 kph	6.0
Ho Chi Minh City	26/03/2024	31.20 °C	54.0%	0.0 mm	29.5 kph	9.0
Binh Phuoc	26/03/2024	30.30 °C	60.0%	0.0 mm	28.8 kph	9.0
Dong Nai	26/03/2024	24.70 °C	86.0%	0.4 mm	14.8 kph	6.0
Ba Ria Vung Tau	26/03/2024	28.30 °C	76.0%	0.0 mm	38.5 kph	8.0
Tien Giang	26/03/2024	25.90 °C	77.0%	0.2 mm	19.1 kph	7.0
Tay Ninh	26/03/2024	31.50 °C	54.0%	0.0 mm	30.6 kph	9.0
Binh Duong	26/03/2024	24.80 °C	85.0%	0.4 mm	18.4 kph	7.0
Ho Chi Minh City	27/03/2024	31.40 °C	53.0%	0.0 mm	28.8 kph	9.0
Binh Phuoc	27/03/2024	30.70 °C	58.0%	0.0 mm	26.6 kph	9.0
Dong Nai	27/03/2024	25.00 °C	83.0%	0.1 mm	18.0 kph	6.0
Ba Ria Vung Tau	27/03/2024	28.60 °C	75.0%	0.0 mm	42.1 kph	8.0
Tien Giang	27/03/2024	26.10 °C	75.0%	0.2 mm	22.0 kph	7.0
